BodyID,Text,Class
1,HM I one one was located your emergency eleven ten thousand farm right Felton farmers what the problem is our little boy stopped breathing at least break even now yeah he thought how can I do you wonder CPR do you know how to do it I'm cold and distant there is a yeah this you know I do think the author yeah call it being a group okay Howard is a shout it goes to his because they have become a medical problems because they have any kind of medical problems levels he does not know what happened before he stopped reason well I think filling some of okay Wario Adler we are at the Mayo hello Tara hello hello allows them Sarah hello yeah okay worry I'll yell at the house look we all agree what was he doing round the back here around the back clearly that we have everybody's on the way to you okay achieved what issues are ya doing CPR steal your good luck I go back to it you're gone that okay I would take turns we currently have him on the way ma'am okay I think here what was he doing when that before this happened like a little right political I am hello I think there are kids and they are not well trained they are all here in good Ole not because of I needed it you can't hear anything well I got to hear him talk and they're they're very concerned down there can Harley,High
2,in Atlanta one where is the heart of hello nine one one I'm interested in my house but what if I couldn't find my front door myself to another trying to break in a decade talk about that right out started signing up okay you know who the gunman can clarify it's about change I've got officers already on the web but you pay on the part of the officers get therapy putting that that kind of backing down they're in the band for someone who in the baton homocore sort of porch we've heard about that about parents that they can't I think anybody who I know I'm not asking you to look for it but did you know there is hope you didn't think Americans it's over okay are you expecting inviting you no because a lot of fun and you have a I'm from the heartland of Africa of yeah like that you see on the front of the officers get therapy to not hitting the get that a lot of nepotism dystopian it just it just broke in public opinion or public got got a lot of the crap that they can't regular you have a point that you know you know them okay tell me if you see them tell me what they look like how many of them are with the demand women one by one updated did you personally collected shadow of percent couldn't put consumer you please that's come out of that they cannot harm either their commitment that it has a lot of off street parking at a at have everything you tell me I'm type n't you to immediately and automatically not met window are you are you in your bedroom are important for our economic in other commodity that they count that a lot of money it their alley behind your house you back into the canal right like I it you don't get on the dance and it comes back online with your credit happen wouldn't it Nnamdi very good shot of no about whitewater is it's not that bad of a paper bag out for help greatness reviewing it worked ma'am work which a man well my mom and my dad never know where where modeling wearing his body well wearing body when I open my bathroom and as always we're not in the margin yeah like you know they're not alone okay about it do you recognize imitate them but no one comes to mind it became in the past where you work but I don't think so okay I don't move what if anything nbatv hope who was born in ncrowd for the car lot couldn't yeah and I think he should be pardoned marching band you tried to get in but I'm sure you are parents because what I said I am not the borders you're rattling and do not everything trying to climb my fanfics I thought yeah it there's no need to be out of similar to what got better but every off from that part of town is responding out there of hate please can I don't think we get that particular come out of that how are you hurt at all well no my things was bleeding and bleeding from from places I don't care about I don't know you would think we we do not know what he found out I was a nerd I thought balloon animals stuff you don't see how settling yeah that that automatic that the cabinet but they're they're right in the area now pay when we get them at the door and I met you you have to you know what that's the problem we don't know I'm but what's it like that yeah I'm gonna help them come to you but you're going to need to put the gun down not very well okay okay I had the officers before I disconnect okay have I'm trying they are there that should be coming inside well I think a lot no Paris let's go around the world topic I checked it out I'd love I couldn't yeah that was,High
3,nine one one marcher burgeoned saying right now I'm going to try to force it upon you politically happy since I am yeah pretty chilled Agenzia was okay and I think grandpa ma'am okay have you ever seen this man before whereby he circled here rather than some he did want to go see like Daddy who we are and how would it look at it and where you have right now I do have to say I'm a marine zero one forty three thousand submarine road okay and officials in the department of agriculture only so he told me if I move through here I unemployment students are currently there that I didn't want to experience a lot younger probably darted will make out a blueprint for the knights of Columbus do you do you know where the Madison County sheriff's office says yeah come straight to the Madison County sheriff's office now I will have helped in the parking lot no I feel we are all I can hope if you have you know I I'm so going to have people in the parking lot but the Madison County sheriff's office he's coming both fell into that top parking lot but all the all the way up front I have a guy get it out there right now from inside my building right now he's going to see if I can show I'm curious yeah with common people into the party line of their women there is no ma'am formed out who got hurt ma'am are you in the parking lot Williams from the crowd for what nothing up with them Graham Graham where are you okay we've got opposite coming out there now the other European metal think something known in our parking lot okay ma'am okay we got officers on the way out there okay here's another thing simply yeah she's screaming,High
4,well number one was that the rest of your emergency watch my address book I was supposed to be going from there ma'am so it's a mixed sector what happens my husband sure listenable subsequent okay hold on for me poker alright ma'am tell me your name for okay I got some help common occurrence now though he not return are you with your husband now where welfare hall which was spoken how old is your husband Nita is he overweight is he breathing yeah he was breathing ulta on a song with me on okay and when I need you to do harm is protect on down will carry okay he put the gun down in the living room popular because I do have the pamphlets on the way hope very very new is there any serious bleeding bill for this should be okay and where did you shoot a marathon where where on the body Luka okay hallmark for military you said he was trying to shoot to they have like was one o'clock that is what we call our focus so he was trying to shoot to and you took the gun from him is that why what happened on so you have a gun Oprah the focus well first of all I they're full of smart growth I think one they're kind of which the world he started a fire occurred well that's what I did polka till he started to then he started now Ilka are you entered on polka Tara just stay on the phone with me until arms I have you must police and the fire department coming because what we see up in the house smoker do you have in the house on after all a little cribs okay Boca you know have the gun in your hair don't don't don't don't don't work you know but a little bit so we set up Hoka do what they say man I'm just going to put the gun down out in all the little lights very very look I don't know but of course better here water you know just put the phone down to what they say Bob Barr,High
5,who was also named one operates like a partner that I got some where my other thought is that humans are we running water heater take you home we incrementally eight who knows explained John hope Franklin doctrine Cutie now unloading dockside building he hunting shooters I don't know if it would hurt him people in the cars were accurate located they will determine what issuing and that's all I know that you're calling found you can't take similar shot his wad or well people retrieving running errands selling out and I'm wearing pretty a big mistake how does someone deviant you're almost city now over could be on how to insert in Baltimore Nelson waiting on four acres in the shot out the hallway okay here in which wind now for four eight limit them a lot of limit now them dog hawkers looked up and what's more what eight nor a researchers are okay nurse now someone without the nine to why John Hopkins didn't they now plan not good morning for eight weighing nor a in imam number in Arcata might that might alert eight seven seven roommates southern sat at the nurses station okay and you heard a shot yeah current bothersome somebody or god knows they all know who Richard what's on the paper in her hand but we're not there door shut trying to pick the car door shut quite yeah how could we get first name okay you think someone had been shot I think so go to a man bitches don't you definitely gone sat yard heartache you didn't say anything correct correct hold on okay okay yeah man yeah I know I think that you know where we were going to get officers down there only get to see if anyone attacks we shot no but they're there those markets are out there and so they can get the pressure faster my here Babe support that okay alright well give up will get lonely phone the way okay Cartier okay I now Baltimore city la la la la weekly now hello but not a eight now what we need now why why do you think or gotten a okay we have not met him Conde who has anybody been shot or you words that I don't know because I'm great book that report that we have done that outlay mujer meaning we are both retired doctors hospital workers that's six hundred won't wash got my whole all you all one or not eight million eight we got a phone number you called upon I'd also released Nelson ages one eight four three am I if you have anything else you can be a great thank you alone luckily now operated watercolor you you mean all those variables and I was on second thought well there was Sharma gun shooting a fun Nelson eight lawfully own database yellow wooden flute blowing up okay when the long hold open one of no I don't work for you on a farm right now I'm on now to seven point one in the hospital well then look on now can eight don't happen infinite logo was Karan usually looking more man well informed on what's your phone number your homicide leukemia one I was standing right there in that position went down he was New World War where yeah announcing eight so you said he was shot gap I think believe well behaved learned that not eleven long gone those who was shot I'm in here I mean here I am shaking waterfall werent realism counterfeited and influence out on the ground saying yeah fell down on the ground really not everyone has supplying locked doors and I can okay can you tell me motivated luckily did you see the closing will be applied who had begun and the only way as I was walking away the gunshot went off and then a gentleman ran into I'm an African American down and ran into one of the room and since the first room on last call on the Nelson eight building movement okay the clothes you onto the loss of what value was this Nelson eight four Latin Britain or America first the first patient room on the last I saw an African American man I like going back in there and close the door wouldn't want non farm suit with visual ounces so they can visualize this was the first patient but was to the left if you only have a few of your new album eight and a half old father who worked for those little books and ideas were within a particular part of Nelson was a world just as you go through yeah throwing your clock Martin Yeltsin aides are nursing station nineteen on appeal it happened immediately no one said anything immediately for the last seven investment that you thought was that he was a patient or someone that album of mine it looks like a very great American music he's doing because you thought it would be more and more I think at least he started on Larry King on and while very loud you went and our position on down thingy found and then they saved a whole new style father policing now okay but only yeah I know parents are clearly ordered bracelet that docking in sound at a very you know occasions yeah yeah lindelow indignant and world you know I don't know how long I'm sorry I'm I'm talking well what did you thank but there were you know I am on now since seven in the Mickey the medical I'm sorry the medical ICU on sports that there is in terms of not a well he did have an affair I thought well he went out and everyone lost in that runs for safety I don't know who lives I'm sorry I don't there's a gentleman yeah yeah now I'm I'm really okay it was just right now the unity dropped back on what did you think no more Saddam in deciding how I mean it just sounded it was a very very loudly bedroom shot it sounds like a shot you know that little diner and when he went to the post relatives on you just saw him running I just saw him Seattle walking back and Sharon one inner well the man in the blue so you don't say a word value disabled one problem for awhile yeah although you can put it in those that well yeah say that says there are people out there for that alone without one unlawful your love you on the second floor what part now that I'm on the seventh floor and whenever I see him no need I don't even know for like I mean I was walking out and bring that year it was like a lot of that and it sounds like a shot sectors what very loud and long in the positions that you like down soon proof proof and you know people that love says god hardline it down get on an authority on what fun no participated in yeah along with a lot of fun and okay alright I'm sure there are many do decided to call for the Amazon because you decided on out there find a good one but also have satellite thank you thanks lullaby but hopefully one weekly Pyrenean stories yes how you got it I got along cited to save on how would it John Hopkins hospital we have had a shooting on the floor sought a floor is self that he knows is that it deltanet deltanet out so he won't be at the fair six articles will freak who of course the you are making problems not just one person this without possible to solve okay do you have a description of the Clinton global on he's about five about seven he's a real film F. people but African American they'll all look a little bush palm I don't know exactly what he's wearing but I think he ran off the floor didn't couldn't wear off the floor really one off the floor we feel might be in the patients in his love of law how gay but he does remember what you did anyone knows what he was wearing or anything farm I don't regret what he was wearing how well here is a look a lot of fun of your columns on okay we're going to get police fail came over here butchering marks are not what I'm alright if you don't believe me look like this one yet he made warmer more if you live in the forties filling out real how do you know what the mother remember western here in Beverly three eight seven three yes police officers who want to eight velvet only David so they had last name is Davis politely looking out my window just evolve police out okay thank all you security Dale you well know I'm waiting for you on the floor okay how might be able police will be there a do you want to talk to them on the line because this model years weakness invited thoughtfully thinking farmers Baltimore sitting among one operated troubled the re release of fighting crime or the employer well you will lose that out award as well yeah you did them and I think I wouldn't get a confidence your wife was so that he does not have even raised floor nothing selling a lot hospital so like I I was going to fall less so but he said the person he could see the police everything organically there's been more and hopefully for a lot of they live in a verse or whatever floor so with him what he had done things such as little you got he says and I think Charlotte in sap looking and what he was a son of his own arm or tell you anything I know they have something to do with it including the kids home okay did he tell you in particular for something like what was I thinking well you're gonna pay for I we all made references and well known but he said that there was shot on a feeling sad account of this hospital I would also like to use life wouldn't bother Senate officers didn't last that long but I feel he falls a lot of people off well okay so he can but he said that that's the way shattering sex okay he Gideon description of the car and shot the parents can how long could he said the half yeah so just because okay on a floor and eight you have anymore information from no I can't be one legal name phone number only you only hear grasping for now on a league when the phone number okay I wanted to comment on anywhere can hang thinking ,High
6,who no one emergency what are you reporting yeah I'm sorry who do you had better pay and no good luck with them and well rather when did that happen where did he go inside yeah the track we didn't know that the next attack even yeah that would be you should wear tight yeah yeah but if you keep Cleveland because and am I right okay let lit about EPA to your vehicle we yeah she's that's good so I alright well well I hope that what makes a model leann he knew in because they were doing I wouldn't know that but not him yeah sure and picking up thirty minutes ago yeah why did you tell your well your yeah but those who and it does yeah listen to what he had done eighteen detached out there I'm just going to be on the line when at did you know he was a way to expand yeah if you have any bearing loading up a little bit I do n't he learned all of whom I don't know well were I'm you get me mad but I come from there I'm still here okay it is well how many do you work better and then there's a black one well which he I inside when you buy the right well well he didn't know that that that you think you've been there the whole time that looks good but he then I Ndombe how what time that you are right there are we seeing a man you because of that we will what will happen but WNED numb I don't know what it was a really let us know that actor who we can yeah we're going to have to you guys you guys keep no anybody else other than you Indian and it did I used to share somebody calling we have several units on their way out there man I don't know I think you know you're going if you get well we will be back living it was an attack building rather the fact that we have retractable well I think this division pick bell right yeah it won't be well I don't ngga you don't need to but WNED back that you teach I don't mean to hurt you one report when but who knows Aquidneck bangs on well one probably but then I'm still here I'm gonna keep you I'm going to my dictates make contact with you if the public well not that it really little we we alright well we want you guys are just across from the command center we it's not there anymore punk rock if you did it ticket data check the property we NDA let so you you did I do today yeah but we yeah well maybe we don't want it what he said that I'm still here I'm drifting along with you into my debate actually go in there and copyright okay I think that and I think that your I don't think I could open it now look what happened rock IGN at that time you're not in no time yeah but yeah but you know I put yeah at random what did your I don't suppose it could and to make,High
7,nine one one emergency but hello picked up on it yeah I don't want to work and help bring on more quickly well you know well I think no one on the I'm a court of law cut off okay I look good you have to break away yeah I I don't want to you can pick up your car well you put in new co it got a lot of you can't come out again let your okay you can't put it in neutral or anything like that you can upload looking where you are I don't know I don't know coming toward him yeah well we don't coming toward him okay well why Honda well my global by Bob got a white Honda yeah well I do think that little heading towards town after all the dummy can't turn off the car a reported neither this then who who might look into it yeah who know yeah yeah reported not able to put in car in neutral can't turn it off padded toward town just pack the rubbish dump and there's no way you can turn off the car no way you can put it in neutral the automatic yeah then there you cannot be given to neutral yeah if you put you know because yeah yeah yeah but put you know what okay then you should be over lowdown no harm what does it not late now okay you got your question than that bill not flowing down yeah you got your question and you break gone image build up blowing down right now yeah twenty that he got a clutch and brake on the car though not going down yeah I don't know what to McClellan well yeah now yeah but that you know you wear I did not call I did but I don't and I thought it my I all my good living I am I'm I look at you know yeah keep trying to put it in neutral he's trying to put your yeah yeah yeah look coming your way it's so difficult that I thought yeah I got a little caught up a little yeah you won't reporter one of the officers with him the way I need you to move your cat thought he'd been trying to put it in neutral well I am the hood like watch them nothing happening yeah yeah yeah yeah I have you tried your fucking break already I think there are Carter got okay you break your arm you because you can't well it yeah you pick it up it would be good I would have thought yeah he replied no lawn he can't well didn't bother looking over you will all no no no no no and and what yeah well engagement then he'll the other are you okay who,High
8,arm hurt me in the quarter are Daniel Larry Bird hill dialed nine eleven at him it E. brother on panel twenty nine nine one one operator required everywhere sure murky well here we didn't girl Paul okay yeah but I I pulled worker from Herbert hoelter yeah a world where do you live there or criminal Paul W. how do you kill or her arm over what are number hope all what did you do that good morning hold who wrangler are gone greet him yeah argument no hurt my mom everything felt her on longer well but you're right yeah hello I yeah well I yeah alcohol here calling on yeah your complete Merle Paul okay yeah okay yeah okay what hurt me well you're hurting Larry yeah okay land he could keep him on the line them Hmong home Bertram error but whom are good want okay are you on any medication company or yogurt were curled up with god but that or put that poor yeah recording,High
9,yeah I think I think are that they but when somebody number but really love about going up for America one I am working now but I don't know why that is not right helper how long mycnn couldn't help it I hope the ugly okay nine yeah about it why don't know but if you're like me but yeah okay concurrently I think what yeah I think that you are at home I think the what became a combat help what you can prom and put one for awhile really illegal how many people are about how all my brother my food yeah liberal again if they all get done at all who thing on the planet look at it like that were more more often no I don't but you can't well yeah I guess you're not going to let them know that I think that you're shot you're late at all I can't eat that three people at the event that you know I Paul yeah yeah yeah yeah yeah because for may I help yeah yeah I got I got that I've got that I don't quite while I'm gone yeah yeah yeah yeah yeah and that was it about you all the way up there how yeah I got what they okay yes my help keep him couldn't it yeah but what if you like it there were you Garrett William yeah well if you look at the way out here like that though if you look at all the things we try to get it to work and all that how long ago did it happen at the call box all okay but other people that were shot you that it was your brother it well yeah yeah but I don't know and the bullet hole you know where they got a shot at I couldn't wait for people if you don't obey god help or not noble they you can get that in but not a good thing you have ever thought god okay or welcome replied I live with my aunt wanted a book that they will all talk about yeah we yeah I like you can look up to him later outlet like yeah twenty yeah because I think he would argue with him abroad because they have their comedy quickly if they can get okay yeah got higher now you know you will hear me I could do you know how many got they got got a happy well what I look at look for I would like you fall yeah you know what the tag number on that got you know low wall I tell you that the log there you might have about a Halcrow Tyler what color it get a wide there cometh quickly they can get you to think about we talked about it they are kind if I don't know why you know there were like don't join if he got himself my how they got it done it's I think I would what part I that log I will given the cut with them why would all like even yes I can hear my did he have a weapon or anything he didn't bother anybody my and what were they arguing about it you know yeah but if my lip that I don't how old is eighty nine but I it white male tell me what he would glare at you don't like lucky I it might help what what what is your third eye and that's the truck because it would hurt is that right okay where let I thought it is that the trunk lid your camera by helping yeah man I don't think I can I don't want you to think out weekly okay I need you to tell the public because they get there my leg on there's well I don't think they could do anything about it how did you get all your yeah it gets a little never in the area that hit the back at the people that they think that I get there I'll let you go but I don't want you to hang up the building and okay one thought they were like offering three yeah I think I might that they're coming to you okay are going out you got the door a lot yeah when did you actually think I'm cute though that if people are hurt it all I can hear it now where they at al-assad's a little while yeah we don't want crack at the local level where I am now don't open the door and held off it they are elected by him they'll poke I king yeah area but he got the doorbell again about him they'll they'll open it to get that would blow won't force made up guy I am that that is what Bob directly to go work out with him okay yes my happy that I think that your you think I am I think other people now yes I am I know okay thank you,High
10,does that number one what is your emergency we hear from high schoolgirl certainly interesting Blackmar we're at that Stephen Hawking signal colored she hasn't made it back to the hotel chains I don't know where she where she lost to a few formal legal and some other guy singing and she has made it back even then room for a two what is your name it's Robert early cutting stimulant the a are early why your phone number is eight one so zero eight it's Robert and as you say do you eat Elia in the morning okay Gators and okay you can see little little name I am going on Lambert no credit are the water in the world it is really cute Vera heels and her I. D. and he has strong within the room on the here's and I really thing others because she was our so this guy over here you are going right Tom he'll take me home and the water was more okay well kind or color dress it was like black with blacks he knew we would literally silver ball I really feel our motion in which there's German up to walking on the road herself senior cold and they'll talk because well nobody heard from Kennedy in the room or it college the moral issue origin here's okay I had no I see okay,High
