BodyID,Text,Class
1,I can't breathe I have a lot of pain in my chest and I am going to pass out from the pain.,HIGH
2,Car crash the car has been turned over and there is one peson inside.,HIGH
3,My son fell down the stairs and has broken his arm and his unconscious.,MEDIUM
4,We are lost but have food and water for 3 days.,MEDIUM
5,I have dislocated my knee I cannot move.,LOW
6,I have third degree burns from a kitchen fire.,HIGH
7,My car has stopped in the middle of the road I need car service.,LOW
8,There is someone following me I am in a dark alleway near King and John.,HIGH
9,There are two men in my house I don't know if they have a weapon.,HIGH
10,I have a gunshot wound in my upper chest.,HIGH
11,I've stubbed my toe.,LOW
12,I fainted and have lost my speech I may have suffered a stroke.,HIGH
13,My kid just ate 10 pounds of chocolate.,LOW
14,The women next door raped me.,HIGH
15,A man has been following me for the last 20 minutes.,HIGH
16,I am getting a weird smell in my apartment.,LOW
17,My house smells like a gas leakage.,HIGH
18,Three of my friends are passed out with foam coming out of their mouths.,HIGH
19,There are two rodents in my house.,LOW
20,There is a bear in my house.,HIGH
21,My friend is having a peanut allergy reaction and is growing red.,MEDIUM
22,I have a very bad sun burn.,LOW
23,I have cut my finger off and its bleeding profusely.,MEDIUM
24,I have been hit by a car but I am completely stable and able to walk and talk.,MEDIUM
25,The person just told me about someone he murdered.,MEDIUM
26,I need to report a missing person who has been missing for 48hours.,MEDIUM
27,Car ON567832 looked like it has a drunk driver behind the wheel.,HIGH
28,I think I have overdosed on magic mushrooms and I see dragons.,LOW
29,A plane just crashed in the field next to my house.,HIGH
30,There is a random smell in my house.,LOW
31,My best friend and I has a fight.,LOW
32,My company just lost its entire market share I think I might commit suicide.,MEDIUM
33,my brother stole my chocolate.,LOW
34,there is a gun hold up in the bank I am at.,HIGH
35,four robbers left this bank taking 20 million in cash.,HIGH
36,My dog got run over by a black car.,LOW
37,There is a dead body at the bottom of this creek.,MEDIUM
38,Can you help me with my homework.,LOW
39,I am having a sugar rush.,LOW
40,I am going through food poisoning and cannot stand.,MEDIUM
41,A dragon is breathing into my face.,LOW
42,Harry Potter is real.,LOW
43,There is a gang war happening down the road.,HIGH
44,My brother wants to kill me.,HIGH
45,I think my child has had rat poision.,HIGH
46,I don't want to do my homework.,LOW
47,I have a deep cut that's bleeding profusely.,HIGH
48,"A car tried to run me over, the plate is M45878G.",MEDIUM
49,I have eaten too much food and  I am in a food coma.,LOW
50,What is the problem with my phone.,LOW
51,My nail broke.,LOW
52,I see shapes and I am hallucinating.,LOW
53,I am driving and I can see shapes I shouldn't be driving.,HIGH
54,The world is spinning on its head.,LOW
55,I have been shot.,HIGH
56,I have cut my arm open., MEDIUM
57,I broke my left wrist.,MEDIUM
58,I can't breathe.,HIGH
59,I want to kill everyone.,HIGH
60,I see someone trying to drug someone.,HIGH
61,I am bored, LOW
62,How are you doing, LOW
63,My cat climbed up the tree and can not get down, LOW
64,I am thinking of hurting myself, MEDIUM
65,I will jump off the roof right now, HIGH
66,The elecricity has gone out. It is dark and I do not have warm water, LOW
67,My neighbours are having a party. They are very loud, LOW
68,Everyone is very noisy, LOW
69,My sister went missing, LOW
70,An armed person is in the building, HIGH
71,My code at the connected labs hackathon is not compiling,
72,There was a car crash., MEDIUM
73,many people are injured, HIGH
74,Someone broke into my apartment and stole everything, LOW
75,There was a breakin at my house, LOW
