BodyID,Text,Class
1,I don't know what I don't call it we we well I shouldnt bullock well no limit on how are you  employment all the holy book a little more we can win well what height a de how are now in of one high alright you put on that moving and if you can hear me well globally and what a Barrett elementary school curtain do you hear me please could yeah I'm writing room cool and part of Barrett Lupe who did that I'll do it who are you bathroom who but he he who who who ridicule babbling battle okay who well you hello here alright I don't really keep your IBM you couldn't Rick you cut a mat you know it all up for but who I  you know what he put in what hello please do you know where it really mean it could have a limit what you thought of what hello I love Hollywood my my my my do not pick Hillary okay what who have bigger cock my a lot of love for the navy and I'm putting all my god you know where and he wouldn't have a clue okay do you have a radical why did mac I I I I can you believe that bleeding perhaps governor cricket he was you blew it I got I got a gun can you believe me you will not hear the whole neighborhood but are any living twenty nine my age Hitler a a little blue I know and people are you know maybe he is breathing who you know who you are you there you will cutting what is your name I'm Adam Crocker at a little you crumple Hilo look how good you are I got my name blue he also elbow to elbow move him you didn't they're on their way down the line would be alright how can you prove goodwill they'll breeding who madam leann leann in your heart to bear it right I'm gonna good urban you know yeah everyone well hello khlo you Iran contra but but you you were you legal brief he currently lives I of pollution Iran who who you are but please yeah on their way okay who who you hear I'm comin yeah a good job well you they're on their way a man who knew him well we will grieve in Adam yeah clean hurting who we we we we well I think click right we who I got angry that you a yeah where the knife at Adam well I will move on and and and who are you  Duke who who who sure he he'll braving you are you all that I know coal the globe coil cannot we hope well come to you know who yeah Adam quickly little blue and Adam Adam you're luckily there are better you've got you well here you're in front of Derek yeah Lowe who would squirm who will because it didn't it didn't who what it would go are you sure let now we played even brought David well not very are you there Adam his does he play now and the brother David hill are you there anybody out there with you Adam Burton who who who who are you Brian who really cool though I if he killed her eating day Adam yeah who he is breathing yeah probably broaden their but use query lethal local I don't I don't hear him breathing now he hurting though yeah I got like finger incredibly hot here or cool public other hello credo lord only knows what we've gotten you hit somebody Adam you're hitting the what are whether whether they're there alright yeah okay but talk to them what part please Greenhill please help with going global we he would bring healing unwilling though I didn't mean it leann little but not no I could put the money up thought we do all Robert Bolton Robert all love you put that way I'm right here where we go my god there are with him like that I want a couple but like that you know I think I think that who are what I would but a man good good good morning no Greek word that I think your pocket though well include your cookware you have got to have a crew alright well but where all yeah into Britain by will he do when he heard the order was yeah we would gut flora yeah god will bite me that look low I've been better equipped often poorly related that I think his forehead would you rather poor it did talk you head again we are aware of the fact that he will do well here verbally in here knock on the door I have read it right here he had undergone you have them it'd be funny if no yeah well yeah log on with them what  at the brick or they're not a little over nine working grow that room little Lori through you know all and I got in that cart and picked up a really good yeah but yeah you know about those what it will right why wouldn't he ever got there at the point of new products yeah all that all but I couldn't because I got high thank right well you know what a great life yeah what I like brain looking like you would a Darling whatever you want yeah Paul he got thank you very where you can keep that without the government really Devin that you could hit what you call that hopefully talk I'm trying to hurt me load and unload pain poor little man like what I hear the whole record after that call it a yeah Darren Hauck let it be alright no no thank you lord man you're a little kid what what about one thing that will hit he noted yeah but if you let it all out hoodlum alright who well it went far double or how long you can get there very quickly her because you are the only people that we're going to bloody hell and get no no no what made Adam hello looked up look good today and I only hope my name one like what I'm Lou Gehrig look who's where I don't know right here right review of it yeah he had a little old for you right here but we have a little politically yeah all my  hold little you know look I don't hear look old I'm going to you know I don't know where god like you're going no you're likely your whole you know I no I no love alright no no well about where like you know but by early who are the hopefully you call problem under a yeah and where you think the night got real man I have a good evening love put in my wi looking kid brought up on it the public is pretty likely had no book I'm a nut volunteer pleading with him my pocket knife your pocket a lot I would know that got one in the lab black bag right there in the black the black bag yeah Lou that a big deal yeah but her bag before but not the big lie Paul at heavy forty if not impossible but it it hit the bottom we could ask her my view of their own but younger what color is it handled nope read your honor how big it like you have that big money but Hillary Clinton by then well at four in the quarter poor but didn't really worry we'll work order the part dirt bridgehead apart all right here liable are you look you look,High
2,"what is the ma'am are you needing like leann really care you need in Lebanon wait you know right unlike I mean where nineteen you know don't know why I mean look you know a little bit he and
Eric we have a seat belts because one  the late giving the zero one no at your way the breeder when I get that it's now I not if there's a lot Natalie in the late believe it United to his home or did what agency where after Anna we have a unit route check our local lake he did because he was in the money yet effect you know like the clothing Arafat I lost contact when it will be established contact I'm desperate for a car when in the late yeah yeah the fairway where's that it is directly out the date Salem assert that they it's a great thing threatening public fair way  looks like it'd be a neighborhood pub fare when and that that take place St moment got up to Batesville develop there's a link there I'm looking after I think they may have lower their way on base sales this fire so it was a which is how part of the eleventh in a unit leading experts in the with the right okay that's kind of a few and if so what are your opinions don't know that was what I think working with a late hit their prize  I had gotten the liner so that's just one take it other than a pawn by the green white others upon reading area okay okay media calmly back on that you guys check a different units on the way so as not to waste on the way to China located not detail cars which are you in our current relative influential comic art thank you ",High
3,clearly about the fire with a medical emergency what but where am I right okay addicting and you yeah you can work one on one what if you know and all early yeah I know how yeah you hear it yeah but how that you're in a bonfire awhile okay okay okay ma'am would you call the proper one one three what would you I think I would I okay it helped propel I know that you're all pretty okay under the bridge when I make it a now comes out what products are you on the right order me on that well where are what what what what how look brighter you wanna wear on a map on the left guy we were in the hallway life yeah Galway did not call one yeah right I will cover hopefully yeah yeah okay let another no okay yeah hello now yeah okay with a little hope the water water okay mmhm okay long well you got killed in the high I well what okay All My Girl or might not know right yeah yeah big well I oh my good we're call ma'am I'm here okay a combat zone Bob Hope and that we where where it in here call and you know okay little wonder where we yeah all the cute guy yeah are you up there that down here do you have on it we you got a door that yeah please log and I can I get it water yeah quick look who  that meant picking well who or who no no no north of the pie what you don't account for the client what okay but I got the top of the I hope okay I am now you know how ma'am hold who but who okay you are with me okay I yeah I yeah who the alright a little while who won the what okay or okay I want to come back pop okay and you had a kid Paul okay not a compound IGN okay yeah okay yeah yeah Yadin icon I will look at the house hearing I'm not old we not even out on it you know I I hope Nnamdi Larry now that you know that the plot it and people recounting and where and what I did you argue on the right but it all week when you get out the front door web where and what no what yeah and lip and looked at the it ma'am look into the question okay what not about how football on the left by the pirate on your left side is right out front door when not I'm sorry it yeah okay Nnamdi but who who who but could but while all my little rock it now man now you at the back who work there I putting him knocking a Dick Van let me well look don't look back I I'm not at all but we all know okay man okay ma'am look and how to combat the copy Alan if they're not they don't go okay now we yeah alright man it's another boy I good yeah wrong god alright sure you know you're or your the yeah we get Democrats but Gilbert it would have a look at my neck all well all for yeah Blair murder Robert but Mar thirty to nineteen second September twenty two zero one zero I think they are getting help it but yeah I'd like to report a fire well I think that Paul one the you have three one nine one one we are going out and killing other emergency please do not hang up your collar then portent they on the line for the next available now online operator I cannot go on Northern Illinois medically if the look on the bow up don't get mad at them and Thea but for one low point I think that the young mother if input on that one thing that the Lavigne took him up but I gotta let them that I could get my anybody you hello yeah it would be there okay program fire call on our plate mmhm you have three point one nine one one we are currently handling other emerging you do not hang up your college important they on the line for the next available lie one one operator your mother and northern Illinois medically not I'm looking for dumbo upon him other than the ten foot forward you know what that that that that for now to Gemma if input from the one thing that the Lavigne took him up but I gotta let them that I could get my five thirty seven to second September twenty two zero one zero they put out a carrot for both you don't five thirty seven forty nine second September twenty two zero one zero one they need it allocate balk at a do you think,High
4,"I held the record yeah yeah yeah now I upgraded not screaming so I can hear you  up what are yeah
yeah I me I'm listening to me I need you to unlock now so I can understand what's going on what's wrong with your boyfriend or what is wrong with your boyfriend well yeah I  and E. why don't why listen to me I understand I know I of stop screaming so I can understand your intent you out what going on Farrakhan d'antoni take a deep breath he but I don't I Sarah well I think I believe it should be listen to me imagery to the paramedics are going to give you CPR instructions okay don't worry not only not play well I don't know what what do you think that I'm an attorney pre don't hang up all do all I have without both multi band they hunted down and apparently I might do the trick for us to find out I didn't fire department what's the address of the universe he calling I underground what are he NCARB cracked and I don't I don't know airbag well I don't know I don't okay well actually what happened right yeah yeah who I up wait a minute I'm pretty mature medication now right away right away late but it got there is no yeah but made no idea was joking but brown and one I know or right and I don't know why are you what right well well I hope you ",High
5,March eighteenth two thousand fifteen fourteen forty one thirty three one nine nine one address of the emergency full court eight well sixteen twenty one and Lawrence Corey I can't I can't understand the straight very warm for airstream place green like the color yeah what's the phone number you're calling me from what happened who cut your own where is home now hold on one two and I has done well you know went down stairs okay who criteria there's a girl I would place it was very very Jack when she cut U. S. I have all my friends praying that if you don't really know I will say she cut you a Hispanic over on her own drainage schematics very slowly because what is the suspect's name well Lou the unrefuted she married a long what's your name and he has full her whole political early I know you need to stay on the phone with me okay I'm getting everybody to you okay on the news and what there were a lot hopefully it'll crash I know you stay with me okay I got everybody coming to help you stay on the phone don't hang up twenty one nineteen twenty one twenty one to sixteen twenty green place one six two zero Greenspan's first outing that page like a thirteen come out fourteen forty three I can't understand what is your name okay you're gonna stay on the  or anything you can get your hands and put it on your wound and press how far along are you turn around seven men hi are you alone in the house I don't know Easter egg has me don't go to sleep you stay with me here downstairs in the basement and are you alone yeah okay alone for storage thank you Michelle don't don't you gotta slow it okay you stay on the phone with me can you tell me that you have any other weapons design such a nice two workers who are she broke the glass did you study with the broken glass also yeah okay occurrence or move and her hair in each time you need to take a real hard and tell me who it is that did that tell me the person's name are really hello I think real hard okay don't go to sleep stay with me tell me who it has there are actually it wasn't really her fault though you don't know how to take ditching break into the hostess she leads to harass her trial features house okay now you listen as Sheila rhetoric here and she's she's the owner of the house early you know yeah parents slaughtered Serbs because his lawyers and you or do you have a cow one and if there along they're underway empty I need you to take a child and put it on your wound how many wounds to have euro it is their own more than one where will perhaps hello so everybody's on their way okay forever how how with anyone else in the house when that happened nope just you and her way of having a site irv does the law is written you're just trying to leave or early next week it was slow going for the power to heal this is Lauren hunter is so he can Sir can you tell me what apartment number that you and Michelle Formula One Cologne sixteen twenty percent of the senior attorney there are four is Warren on the world we hope down there waiting for culture WNED how are earn into you stand a policy okay don't go to sleep we got everybody in the way they're trying to find you know alright senator Adler is that I'm okay are they reading the door down you cannot get to it hello well hang our are they in the house yeah down there yeah yeah earlier this year okay I'll let you down ,High
6,I did and I don't believe it but do you know about out don't take all number one operated thirty five what is the address of your marking play later I look a lot better defeat on a link that thirty one great very little at the money how could it not be better now Edgar Allan Poe in great agony that made me think about it the I did what what what that yeah a new movie open part of what we can do both hello by the parent I don't hate you can all part of what we call grandma what the accurate without your or it could be a great we need the money promoting that the part you got out on a grandmother everybody an early lead people buy com or that are not rewarded by it and then we'll probably but what I hear about how people look at you in the house okay a little bit of religious belief coupled with what I right please wait while we Erica stopped me on that thing that you have anybody hurt that is what I heard what about you can take it home yeah yeah and don't let a carrot meat and the hamburger and then you might need the ambulance long thing it would appear everyone out there that the better thing as far as you know he'll eat the elderly man in the bill please hurry up I am lucky to have you looking like they are nothing aggregate everyone out you know over twenty one and died Beaumont borrow money yeah I mean yeah appear better when the primary department let them know it that he wanted Elena back things here somebody a penknife put in place let you lie to me lighting you know all my god yeah but Murphy no fucking gotten big data book you know nobleman at the moment leann work on the ground it yeah I wouldn't go away you know yeah who who the purple by the time we the the the the the we how leann but we in maybe in the right band hello look it but I think he would have gotten to know Bob cook into it you know what whew what the heck out twenty eight in the upper and who you play a part in a book put put on there yeah the plot fire NMO you know who think that are not good I'm going who eight and a half grant Avenue okay federal appeal Canada can occupy department do not hand go the it quietly pool of you don't know how to do what ever you yeah would be good for you you know who good well that it would fit the mold what did that will not here I want to rip current quarter report affiant where Paul McGlone unbelievers sixteen grand admiral grand their grant grant Gee already and peace at that apartment up for I don't know you deprive a liquid heat well man I could he get more good really Craig ally and  pick up anybody then died Carl nor looking from a window Haruno undefeated mocha Nordic people are into cookie sheet Grand Avenue during finger okay that with the volume warm okay computer room point follow up with the violence of my book I hope yeah yeah I couldn't get it book about me yeah but look cool if you look back at no I don't think anybody in the house it took a look yeah okay yeah critical okay in wikipedia what looked like a plane coming out of alright what did well wrought by them by with the event that we have made that day home a lot more going on around me World Bank wearing a world please include a host of smoke coming from the normal people by anomalously criminal assault every guy but the crowd that it really exactly drive but only got in touch with my own gorgeous hard up the gray hello but before you get those ari what that part of me are calling from  believes I like the prefect by out there log book I think it I think a college but who think that we can what do you anybody inside yeah okay the umpire it could be delegate but again people there again well get three uhhuh did vannatter hello hello hello hello hello exactly what it is if you look at the big fight all great right now you can get out yeah got up on the way re-attempt we have up on our  ntfc by this badly Diane Warren ash sorry one thought out the twenty seven grand street structure prior reported numerous call the Sheik court street cut the street the green screen but we heard him but I don't buy it giggle Keiko one one one report to try a client to share the same plane we occupied the green green color Oregon they didn't do it do but I love what but I W. at Rio Texas how does she know I avoided going and going three RD degree going on and on into who live live and you want by the way he'll one one four you're one zero eight hours by did transmitting did one one four I reported two seven grand street course treat such as the green street on this respond to engine two engine five engine turn engine nine latitude that a twelve sorry one rescue one deputy one safety officer numerous call that structure fire reported twenty seven grand street course street Hudson street to green street district one one for all responding units by ground to you're one zero eight hours by a dispatcher admitting district one one four structure fire reported to seven grand street court street artistry to green street on the trees part engine two engine five engine turn engine nine letter to letter twelve battalion one rescue one deputy one safety officer numerous call that structure fire reported twenty seven grand street course street Hudson street to green street district one one for all responding units by a ground to yeah I was twenty seven Grand Prix twenty seven hundred three green twenty seven grand but I warn samo checking twenty seven corps well lawyer redirect to seven grant wood P. Avenue grand put a T. Avenue pay them by but in his own pain that twenty seven grand that's correct but we're having a address problem exactly seventy out trying to catch contacted the company eighty we're going to turn the box out the twenty seven grams Avenue grants with anti okay letter leverage briefly pride about calling it the company a and get a good answer and padded company a and at the gate twenty seven grant haven't you talk to follow ,High
7,yeah I think I want expire it don't ever let it relocated are do you know your craft headset yeah okay urinal right correct yeah okay what's going on there I'm not letting yeah I know IGN likely cut I need it I don't know that we could bring okay we no I think we can crack it only thing it would it waiting yeah I caught down on okay okay they though it pains you but they don't know click here are it yeah how old is he yeah for you all who yeah I think not yeah I know I'm right back but I think I got a lot mmhm Tucker and if you don't request in fact twenty crest apartment can but would he be recruit department part for your mails are having it down one would think get me out why yeah yeah yes ma'am yeah okay what's going on I like what I I'm the same person just talked a okay what would you do without it or upper I heard you call it who I think you are no no no no move or blood early aloneness anything well who now not big okay idiot bathroom well make sure you got it gone okay but all are really mmhm are I okay ma'am well yeah I I need you to take a deep breath forming calm down okay well to get it back no are yeah I can go where they maybe we are only okay well okay it would I need you to calm down okay are okay I can I take it but Moriarty okay calm down so that we can help it or or it is dark is I'm still bleeding  at site yeah okay at that so he doesn't show cholesterol won't NBI you know right but I all well I think if we don't get into the apartment I doubt it Philip but then why but the matter now no yeah wow Jamia stay with you well know you get paper you what is that what I there well okay ma'am yeah debate it yeah yeah okay sorry thank god you want just praying that at this point very there but now it all we care about make sure he's still breathing well yeah well all yeah by ma'am okay ma'am all who yeah yeah yeah yeah okay I need you to make sure that the everyone can get it okay where where are you at right now I like it or not okay I need you I tried to call a dirt do your opening it up or can you properly outlet open oh yeah okay I need you to run downstairs propped open run back upstairs okay Asia quickly I let what what what okay I need you to calm down okay who are I guess I Nnamdi on the way okay just take a deep breath read to you and I need you to calm down earlier work group no no no who I had what will happen now elite and that when you go to your apartment leave the door open opening it why don't they apartment door okay go ahead back upstairs if you got the look if you got the outside door open go head upstairs who and nbspit yeah yeah ignoring probably flipping it at a particular help all right yeah or it it all Anniyan all that he had he would have no impact okay okay so what relax when we will be but yeah I I know we are I am right after he just drank too much who are you book we got that all hello why who good yeah yeah but look I think looked like it would get home bumping who am I now yeah it is just the kind of it are I don't know what I'm thinking is that we by pleading anymore is it won't know who oh god who yeah I wish there yet well all who I had it been that long it is still difficult lot longer than that well yeah I okay it has been  who yeah right who can all you wouldn't your  I knew you would be there a couple minutes just thought yeah their commitment to you like the well I I am yeah yeah okay yeah do you speak breathing is running and he has a pulse well I don't oh my god yeah well all all yeah well  they sure you watch his breathing okay okay grain that they're better make it clear right now you need it breathing what well who who I wouldn't want she war well I hope it like that all you know I don't know what I don't they're just a couple minutes why can't well won't well you weren't home what well who I you don't yeah everything still yeah okay into what what who no one boom Warren all I got get longer than ever really who you rob a bank well you don't know who all my Wall all I don't I I'm still here you don't know me yeah okay here who I can wake up and don't we won't we won't let you know how your gut I hope home or okay preferably who got no overall  although I no no no no no no I all okay that he had grown up now yeah raise Britain okay then we all who all  you all all right about it you won't yeah I know you know yeah but evaporated yeah it is I am yeah black okay I didn why okay yeah I don't know you know Nnamdi we you know no yeah yeah don't worry why okay rhetoric if you are not really all right no no well I am I am what called out so we can help you okay what do because I have a ticket breathing well I want yeah if you not really rich people were you with the people you know okay waited until it had it on the back of it back right now okay makes it no pillows underneath and what I need to do is put your hand I don't know put your hand on it forehead it kills all its head back but your other hand under it back okay all right lip you hear it reading at all yeah who okay we're gonna do CPR okay you know you know okay I am yeah okay ma'am what I need you to but if you put your hand on it better but yeah okay yeah okay right between the people that put the other hand up top that had all right eight pushed out partly to which you think you got one okay who ma'am are you doing it yeah screaming and what what I'm telling you okay okay it a little bit coming up yeah I yeah there yeah ready CPR you putting down are you OneNote you keep going you pushed out probably too well weapon okay party you can't do it down okay or but one two or I had yeah doing good keep yeah yeah humn well you know all neither burgers per I thank you bye bye ,High
8,wearing only her arm around his eye around I don't like what I had the car so I can look at industry without checking all the crowd who was shy of wedding bleeding close Louboutin by talking Sharky that's true because I can you know I would never in doubt okay continued on as she waited in the ground leann okay you can wind back into yeah I heard the Oscars rainn all my diet it two three no no by close shot he was who I cook is like a cartoon moonlight lubricating Unna I'm here alone coherency no acolyte Schumer lyrics well I should we don't know the St Louis stream grocery among most street in the foreign ministry Whistler's how can you still need more rain and where al Qaeda got everybody walks away leaving the you know the grail our opinions unknown the pairing up because yeah yeah now I want it would be very little in common gray hello I'm I don't know if you would like a little girl with the address what do we honestly we in the middle of the story nine thirty Perot bread but I'm a parent and tracking Leo Longstreet well blue streak chaotic horrible extreme bread bowl or now I'm in the middle of the most stirring up in the middle of loosely tied up artwork etcetera yeah you you're not alone Bible words if I'm playing with fire is how much you're well it's like me it is really really horrible and I'm yeah and apartment I'm right behind the promises here I might add  who who became television building where Tom what your telephone number exactly what happened I don't know that I would die redundancy in the newspaper you get away with it because they were communicating what is no although I agree that it would not work here but you know the new lay ministry so I thought it was ironic because I want to see which side certainly we shot it was shot in the house they were rotten who was shot today liquidation no I think he's very close to the billion of cuts warm parka he'll say that homey if it's an honor in and out of the outlook for the crime retained a okay,High
9,and can't and I won't let theatrically America think that they're out there palm we require earlier and better poor they want they away from all there you go mildly Buhner go file within that you play and could call my long one that he came back and it is I don't know he left her you know clip name put on the front door and down the car and make it and but he may be trying to get in and we polled the moment the war or peace yeah I think they have on the door I'm a little about your law right in the back sort of the front door listen to metal but don't hold forget the second fund it might go to your way okay mainly through the air yeah we're trying to get and I think I think the thing that made the break and Kalmadi okay aren't we got him on the way that I needed those he still al-assad's beyond the backboard breaking them now yeah I got to the front door and well my phone with mankind we can put that grow food for prayer and what is your name ma'am he the door quality work somebody on the way it is yeah I'm going to okay we've got a moment waited dialogue with glee all for all I care all they say it but well in a break and well I I couldn't believe that law to be clear and leave the doors but security again okay well I'm currently and elderly mother and you our area they're thinking burning a burden upon the people are who they are and they depart or one of the windows and there won't be it got you now you who would put the home all one no more but I didn't cut him crawl on my own in more born on you need to call keep that damn alone you're welcome mon yeah they'll let you work the norm may calmly okay where he yeah report lower Robert Brown for remember that that could be brought her back yeah good who who do you think you I'm trying to put we're on it more liberty who then can you tell me what does that yeah he came in for the kill me when they're little or would well I think we the male or but I you can nine one and indeed Monday July second two thousand twelve at twenty three hours thirty minute Grand Prix second ,High
10,I want one all I eat well plainness or we can I get my car I would take your money I don't know why yeah leann leann you mean they hurt me I don't know I leann okay well right okay you alright you know me but I feel I got there or you know any number you I want you to come on you know on your money eight I don't know needed a light rain yeah yeah I mean I don't know on your yeah no money ain't right her okay eat them like earcup Larry yeah it your baby brother or how do you okay while holding rather your all my you think that anything on you only or you recall yeah okay is there any it'll work yeah where the bottle I know won by only who I think are eating writing early you're going to break did you eat eat your baby brother you're not the choir yeah well old you know what you're you're getting your router and my god little lingered in or will he I really there is little cared little here it all why didn't go over there yeah yeah you know I mean I know you are I I will wake up and know I am playing along all I only have one night we're gonna get woman hope you're being felt right at you overkill why I you are very what you mean are okay I did you are in a hurry help her you like the new Big Brother wall button oooh full meaning paying eighty eight here who are on it even in the new one and now that if I he yeah one bottle like my mom leaning on I know he's not like that now okay you you can be heard the water bottle yeah yeah any yeah and I mean who are you yeah I I I don't think yeah me and rally and away you know all you are very hard at it but I don't blame more you know yeah okay it could take a little longer it when will you can hurt you yeah what they could gather I hate it now no I don't have right now he we want to help me yeah anything I will I think you are going to look at the clock on overall okay gain yeah you know you give me a call yeah it looked more like and now here in the room you know online I'm it  yeah it would make it really are who I I think it your mother had the quarterly H1N1 order yeah in Ely leann he I don't know who we are or I don't know I don't know you're doing okay and your money in all hello I'm calling it now if I hear you and her her nose her now EPR enabling him you know what you know well I you need your hand into her mouth you know how you feel like you're breathing you you here on your money I don't know I but I'm all I don't know eight and I don't know leaned in Ghana I don't know pick out one or yeah right not me well no client you know what I think I will okay here you know well okay I think we're going to have a look yeah online well look I think hello my name from one knee now and I learned we would maybe I like black white parent working thank no okay will he think I'm full of al-assad's yeah yeah I know I would I don't know it that Courtney and you are not long yeah little or it all happened well yeah I okay who I well pulling her own leann yeah well well well here though on what year okay yeah girl you know he if they want you to think about it your brother who won't they here right now in the bottle yeah okay our look at your game you know I see are,High
